No,Item_Type,SKU,Parent_SKU,Item_Name,Model,Quantity,Serial_Number,Part_Number,Remark
1,PARENT,USO-001,,"Optix RTN 320F OAU 2F DC ,SLGMSITE05 , Huawei",Huawei,2,,30207-0024-04484,
2,PARENT,USO-002,,"SFP+ Optical Transceiver 9.8G 1310nm LC SM 1.4km , Huawei ",Huawei,2,,30207-0024-04485,
3,PARENT,USO-003,,"OptiX RTN,PI-AC B22,power injector, Huawei",Huawei,2,,30207-0024-04486,
4,PARENT,USO-004,,"Microwave ODU,RTN XMC,7G,-3E,Low , Huawei ",Huawei,2,,30207-0024-04487,
5,PARENT,USO-005,,"Microwave ODU,RTN XMC,7G,-3E, High , Huawei ",Huawei,2,,30207-0024-04488,
6,PARENT,USO-006,,"Microwave Antenna, A7WD06MAC-3NX, Huawei ",Huawei,1,,30207-0024-04489,
7,PARENT,USO-007,,"Microwave Antenna, A7WD09MAC-3NX, Huawei ",Huawei,1,,30207-0024-04490,
8,PARENT,USO-008,,"Optical cable assembly  DLC/UPC-DLC/UPC , FDLCUPC10, Huawei",Huawei,2,,30207-0024-04497,
9,PARENT,USO-009,,"Coaxial Cable ,Copper-clad Aluminium Wire, RF CABLE-5D, Huawei",Huawei,6,,30207-0024-04498,
10,PARENT,USO-010,,"Symmetry Twist Cable,100ohm,SFTP CAT5E, STWICABSFTP5, Huawei",Huawei,120,,30207-0024-04499,
11,PARENT,USO-011,,"Power Cable,600V/1000V,ROV-K, C6025BK01, Huawei",Huawei,120,,30207-0024-04500,
12,PARENT,USO-012,,"Power Cable,300V/500V,60227 IEC 53, C25ELECBK, Huawei",Huawei,120,,30207-0024-04501,
13,PARENT,USO-013,,"IF/ODU Installation Accessories(5D). IFODU-5D01, Huawei ",Huawei,4,,30207-0024-04502,
14,PARENT,USO-014,,"RF Coaxial Connector At The Cable End,50ohm,
RFCCN50M5D ,Huawei",Huawei,4,,30207-0024-04503,
15,PARENT,USO-015,,"Cable Fixing Clip Set for GPS/Microwave (Plastic + SS)”, Huawei",Huawei,2,,30207-0024-04504,
16,PARENT,USO-016,,"Cable Fixing Clamp, 6 Runs, C-Type Bracket, Fixing Clip-3F3P, Huawei",Huawei,100,,30207-0024-04505,
17,PARENT,USO-017,,"Ground Clip ,FEEDERCLB03, Huawei ",Huawei,4,,30207-0024-04506,
18,PARENT,USO-018,,Optix RTN 320F OAU 2F (DC) with independent,Huawei,2,,,
19,PARENT,USO-019,,Netsure 2100 A31-S1 (SFA),TETRA Base Station,2,,30207-0024-03155,
20,PARENT,USO-020,,"MODULE48VDC1000watt,R48-1000e3",TETRA Base Station,4,,30207-0024-03156,
21,PARENT,USO-021,,HEAT EXCHANGER 65W/K DC HEX,TETRA Base Station,4,,30207-0024-04377,
22,PARENT,USO-022,,VISION_Lithium_Battery_48V_100AH,TETRA Base Station,2,,30207-0024-04302,
23,PARENT,USO-023,,"Tetra Fixed Radio, 806-870MHz,(S)Version：TETRA basic service,built-in BT 4.0,GPS,gateway(hardware ready),REP(hardware ready), Hytera, with  Including Accessories and
Software as following:
1. Palm microphone,                                           1PCS
2. installation bracket,                                        1PCS
3. 3m DC power cable,                                      1PCS
4. Microphone hanger, screws, Fuse,              1SET
5. Documentation Kit,                                          1SET
6. SW00059 TETRA Terminal License for DMO repeater & TMO-DMO Gateway function 1PCS
7. PS16002 Power supply for cabinet PS16002 Hytera Logo 13.6V/16A American Standard (RoHS)                                              1SET",TETRA Fixed Radio Main Unit & Accessories,10,,30207-0024-01774,
24,PARENT,USO-024,,[Sinclair] Yagi directional SY406-SF1SNF(ABK) 806-870MHz Gain：12.1dBi VSWR：≤1.5 Average Input Power:125W N-Female clamp115（included） (RoHS) (REACH),TETRA Fixed Radio Main Unit & Accessories,5,,30207-0024-01779,
25,PARENT,USO-025,,[Sinclair] Collinear omni antenna SC459-SF1LNF(D00) [806-869MHz] Sinclair LOGO N(Female) bandwidth 63MHz VSWR≤1.5 Gain 11.1dBi Max Power 500W   Φ64*3124mm clamp005X（Buy separately） (RoHS) (REACH),TETRA Fixed Radio Main Unit & Accessories,10,,30207-0024-04417,
26,PARENT,USO-026,,TDB_Series_12V_50Ah_(LWH:230x138x213)mm.,TETRA Fixed Radio Main Unit & Accessories,9,,30207-0024-04358,
27,PARENT,USO-027,,TDB_Series_12V_50Ah_(LWH:230x138x213)mm.,TETRA Fixed Radio Main Unit & Accessories,1,,30207-0024-04358,
28,PARENT,USO-028,,"TETRA DIB-R5 outdoor, 1 carrier, RX:806-825MHz/TX:851-870MHz (5550.0000.22_01.00)",Base Station (Spare),3,,30207-0024-01718,
29,PARENT,USO-029,,"Outdoor SPD /DC Lightning protection box zhongguang ZGZD40-18-48YM4 -40~+70℃,IP55, 20KA,119mm×233mm×55mm(RoHS) (REACH)",Base Station (Spare),3,,30207-0024-01720,
30,PARENT,USO-030,,【Sinclair】 Portable Antenna SC488-HF1LDF(D00) 806-869MHz Gain: 12.1dBi   Power: 500W VSWR≤1.5   PIM≤-150dBc   005X Clamp (RoHS) (REACH),Base Station (Spare),6,,30207-0024-04412,
